Datetime,Water Level (m)
2024-04-27 00:00:00,0.099937856
2024-04-27 01:00:00,-0.098331384
2024-04-27 02:00:00,-0.29508704
2024-04-27 03:00:00,-0.471434
2024-04-27 04:00:00,-0.51700044
2024-04-27 05:00:00,-0.29740843
2024-04-27 06:00:00,-0.022402752
2024-04-27 07:00:00,0.28946775
2024-04-27 08:00:00,0.59428024
2024-04-27 09:00:00,0.80118376
2024-04-27 10:00:00,0.81835675
2024-04-27 11:00:00,0.6306802
2024-04-27 12:00:00,0.43133193
2024-04-27 13:00:00,0.22146697
2024-04-27 14:00:00,0.011935285
2024-04-27 15:00:00,-0.18366918
2024-04-27 16:00:00,-0.30942473
2024-04-27 17:00:00,-0.18261075
2024-04-27 18:00:00,0.04237543
2024-04-27 19:00:00,0.27733213
2024-04-27 20:00:00,0.4919439
2024-04-27 21:00:00,0.6114412
2024-04-27 22:00:00,0.52045506
2024-04-27 23:00:00,0.33686656
2024-04-28 00:00:00,0.15394017
2024-04-28 01:00:00,-0.042707603
2024-04-28 02:00:00,-0.24132563
2024-04-28 03:00:00,-0.43256128
2024-04-28 04:00:00,-0.5734661
2024-04-28 05:00:00,-0.46342534
2024-04-28 06:00:00,-0.21051735
2024-04-28 07:00:00,0.07730757
2024-04-28 08:00:00,0.3856678
2024-04-28 09:00:00,0.6549823
2024-04-28 10:00:00,0.7935323
2024-04-28 11:00:00,0.69747907
2024-04-28 12:00:00,0.5128269
2024-04-28 13:00:00,0.32446215
2024-04-28 14:00:00,0.12775481
2024-04-28 15:00:00,-0.066603616
2024-04-28 16:00:00,-0.23272261
2024-04-28 17:00:00,-0.27644962
2024-04-28 18:00:00,-0.09304602
2024-04-28 19:00:00,0.12393726
2024-04-28 20:00:00,0.33167014
2024-04-28 21:00:00,0.48979017
2024-04-28 22:00:00,0.52545387
2024-04-28 23:00:00,0.3904089
2024-04-29 00:00:00,0.22019225
2024-04-29 01:00:00,0.044894636
2024-04-29 02:00:00,-0.13689512
2024-04-29 03:00:00,-0.3179297
2024-04-29 04:00:00,-0.47942865
2024-04-29 05:00:00,-0.5397955
2024-04-29 06:00:00,-0.35045576
2024-04-29 07:00:00,-0.1020963
2024-04-29 08:00:00,0.17641583
2024-04-29 09:00:00,0.46178815
2024-04-29 10:00:00,0.6920222
2024-04-29 11:00:00,0.78754646
2024-04-29 12:00:00,0.6793972
2024-04-29 13:00:00,0.5099775
2024-04-29 14:00:00,0.32981333
2024-04-29 15:00:00,0.14240012
2024-04-29 16:00:00,-0.035598844
2024-04-29 17:00:00,-0.17915383
2024-04-29 18:00:00,-0.18378226
2024-04-29 19:00:00,-0.010785561
2024-04-29 20:00:00,0.1846675
2024-04-29 21:00:00,0.36019555
2024-04-29 22:00:00,0.46947697
2024-04-29 23:00:00,0.45150027
2024-04-30 00:00:00,0.323993
2024-04-30 01:00:00,0.1741423
2024-04-30 02:00:00,0.014621277
2024-04-30 03:00:00,-0.15265453
2024-04-30 04:00:00,-0.3170489
2024-04-30 05:00:00,-0.44929907
2024-04-30 06:00:00,-0.42692292
2024-04-30 07:00:00,-0.22439885
2024-04-30 08:00:00,0.009942434
2024-04-30 09:00:00,0.27271843
2024-04-30 10:00:00,0.52989787
2024-04-30 11:00:00,0.7270673
2024-04-30 12:00:00,0.812227
2024-04-30 13:00:00,0.7262652
2024-04-30 14:00:00,0.5698998
2024-04-30 15:00:00,0.40754217
2024-04-30 16:00:00,0.23493962
2024-04-30 17:00:00,0.069964044
2024-04-30 18:00:00,-0.0716377
2024-04-30 19:00:00,-0.13349946
2024-04-30 20:00:00,-0.04034289
2024-04-30 21:00:00,0.11540527
2024-04-30 22:00:00,0.2740456
2024-04-30 23:00:00,0.4098685
2024-05-01 00:00:00,0.46339107
2024-05-01 01:00:00,0.37594897
2024-05-01 02:00:00,0.23455258
2024-05-01 03:00:00,0.08376892
2024-05-01 04:00:00,-0.07726468
2024-05-01 05:00:00,-0.23465967
2024-05-01 06:00:00,-0.3703907
2024-05-01 07:00:00,-0.38430232
2024-05-01 08:00:00,-0.19422127
2024-05-01 09:00:00,0.034736484
2024-05-01 10:00:00,0.27623194
2024-05-01 11:00:00,0.5145292
2024-05-01 12:00:00,0.7072459
2024-05-01 13:00:00,0.80294365
2024-05-01 14:00:00,0.7401794
2024-05-01 15:00:00,0.5908782
2024-05-01 16:00:00,0.43115437
2024-05-01 17:00:00,0.25764477
2024-05-01 18:00:00,0.08694145
2024-05-01 19:00:00,-0.08053079
2024-05-01 20:00:00,-0.19574009
2024-05-01 21:00:00,-0.17429473
2024-05-01 22:00:00,-0.017370667
2024-05-01 23:00:00,0.16018933
2024-05-02 00:00:00,0.32823867
2024-05-02 01:00:00,0.44826323
2024-05-02 02:00:00,0.4745719
2024-05-02 03:00:00,0.38773885
2024-05-02 04:00:00,0.25689992
2024-05-02 05:00:00,0.11305405
2024-05-02 06:00:00,-0.037546627
2024-05-02 07:00:00,-0.17330271
2024-05-02 08:00:00,-0.24734181
2024-05-02 09:00:00,-0.12835336
2024-05-02 10:00:00,0.075423434
2024-05-02 11:00:00,0.3032096
2024-05-02 12:00:00,0.5438583
2024-05-02 13:00:00,0.7554232
2024-05-02 14:00:00,0.8977029
2024-05-02 15:00:00,0.92605424
2024-05-02 16:00:00,0.80403584
2024-05-02 17:00:00,0.6279655
2024-05-02 18:00:00,0.43863717
2024-05-02 19:00:00,0.24128695
2024-05-02 20:00:00,0.051458992
2024-05-02 21:00:00,-0.11797537
2024-05-02 22:00:00,-0.18565021
2024-05-02 23:00:00,-0.037898608
2024-05-03 00:00:00,0.17515406
